단어,빈도
나대진가,1
노대,1
배웠나,1
불렸다고,1
들어선다네,1
준다더라,1
빌리자,1
내놓으니까,1
갚으려면,1
내리네,1
돌아보긴,1
내렸다고,1
셌잖아,1
팔렸거든,1
팔렸다며,1
빚일,1
국정,1
강상면,1
녹산선,1
사하,1
윈데,1
만드시려고,1
품이잖아요,1
생기니,1
얼해,1
차린다든지,1
꺼내셨으니까,1
절려,1
로화,1
전관예우,1
오해해,1
지적도,1
재반,1
십여,1
끝내겠다는,1
도망친다,1
챙겨주거나,1
싸우시나요,1
하는가요,1
피였었는데,1
노코멘트,1
뛰어다니던데,1
띄었다고,1
말아야겠단,1
맞췄거든,1
않겠단,1
살리다가,1
가지였는데,1
됐었,1
웍질,1
승객,1
만들어라고,1
와야겠죠,1
모을지,1
사실이잖아요,1
높이려면은,1
하냐면요,1
내야겠다라고,1
불리려고,1
뛰어든다라고,1
튜닝이,1
웨어하우스,1
프레임워크,1
허깅,1
하둡,1
스탠스,1
맺어지는구나,1
남기랑,1
쳐라든지,1
아신다면,1
뽑아주실,1
든다하는,1
나타났다라는,1
김규,1
이규,1
오영주,1
어남류,1
어남택,1
들이시면,1
편이었는데요,1
지내는지를,1
받아들이냐면,1
커졌던,1
깐다거나,1
핀데요,1
감사해하지도,1
친구사이,1
피란,1
주신다며,1
벗어난다고,1
쌌었는데,1
또뱅또,1
킨치,1
토즈,1
되셨지,1
나아가려는,1
받았음에도,1
대하시니까,1
높아지겠지만,1
받아와도,1
