단어,빈도
이제,40532
생각,33607
가지,25581
하는,23080
사람,18997
하고,18843
그냥,17795
지금,15994
우리,14485
인제,14093
해서,12443
친구,11288
약간,10539
그거,10238
진짜,9467
거기,9303
보고,8964
그게,8540
요즘,8367
혹시,8298
얘기,8158
그때,8135
정도,7929
다른,7636
때문,7593
사실,7402
경우,7240
정말,7177
나도,6099
되는,5871
하면,5735
하나,5537
하는데,5501
해야,5476
한번,5457
뭔가,5360
일단,5211
계속,5185
보면,5158
선생님,5029
여행,4991
쪼끔,4902
가서,4835
했는데,4810
기억,4742
대해,4649
하면서,4600
저희,4592
되고,4523
아이,4496
영화,4477
엄마,4441
부분,4384
자기,4380
먹고,4375
제일,4371
시간,4316
음식,4155
처음,4012
거의,3633
가장,3567
했던,3557
운동,3522
싶은,3488
하게,3424
마음,3335
하지,3266
보면은,3255
최근,3243
그것,3193
나이,3156
말씀,3115
먹는,3068
갖고,3061
결혼,2989
가는,2986
하니까,2968
보는,2885
가면,2881
항상,2863
하면은,2862
언니,2819
강아지,2818
생활,2798
학교,2787
가고,2773
경험,2738
혼자,2678
다시,2670
수도,2663
별로,2628
않을까,2619
조금,2615
옛날,2593
여러,2563
들어,2562
공부,2556
문제,2518
보통,2516
어디,2507
나중,2502
그다음,2501
편이,2497
느낌,2488
하다,2459
만약,2412
가족,2383
주고,2382
해도,2333
병원,2281
예전,2257
않고,2255
이번,2213
대한,2204
시작,2197
봤는데,2189
원래,2181
싶어,2173
쪼금,2173
회사,2165
추천,2160
되는데,2158
고양이,2158
사는,2151
건강,2112
자주,2112
주는,2091
노래,2036
저기,1996
주로,1980
관심,1968
하기,1966
다음,1962
합니다,1950
여기,1939
브랜드,1936
거지,1893
주변,1876
고민,1800
먹어,1767
준비,1762
아마,1753
되지,1716
되면,1708
갔다,1703
오히려,1700
무슨,1698
상황,1691
남자,1690
가격,1674
가요,1664
얼마,1638
자체,1634
맞아,1614
요새,1601
돼서,1597
수가,1591
먹을,1587
했을,1586
서로,1583
아주,1572
바로,1565
계획,1561
사용,1559
여자,1553
관련,1546
갑자기,1543
부모님,1532
개인,1532
맞는,1519
직업,1514
학년,1510
게임,1506
일본,1505
이야기,1503
먼저,1499
위해,1496
들어서,1493
코로나,1485
거래,1485
하더라고요,1461
나서,1452
보면서,1449
가끔,1443
와서,1442
기도,1430
거든요,1420
걱정,1416
이용,1414
나오는,1394
드라마,1394
크게,1380
하시는,1379
우리나라,1378
목표,1375
되니까,1372
하다가,1363
나라,1360
오늘,1357
관리,1353
하루,1353
고등학교,1350
이유,1349
아빠,1347
들고,1343
거나,1337
어쨌든,1312
주식,1312
직장,1305
방법,1299
봤을,1295
거든,1288
모든,1279
서울,1265
동안,1261
한국,1259
머리,1258
중고,1250
노력,1249
남편,1243
직접,1242
스타일,1242
여름,1240
아파트,1233
요리,1232
사고,1223
하더라고,1219
아침,1219
자격증,1209
활동,1204
아예,1204
구매,1199
하려고,1198
한다고,1189
했었는데,1189
된다고,1170
않는,1163
에이,1159
성격,1159
하신,1155
인생,1152
했어,1151
싶은데,1150
수업,1148
음악,1148
쓰고,1141
사회,1128
아기,1121
대학교,1119
대학,1114
투자,1108
어렸을,1106
무조건,1106
사진,1101
기분,1098
놓고,1093
학생,1093
서는,1090
선호,1089
잖아,1086
카페,1083
누구,1082
되나,1081
군대,1076
얼굴,1076
상태,1073
도움,1067
쓰는,1061
받고,1058
끼리,1058
않은,1058
커피,1053
아들,1052
않아,1052
했어요,1047
가게,1041
배달,1040
종류,1035
이상,1020
물건,1018
얼마나,1007
적은,1006
굳이,1001
에스,996
신경,992
선택,988
점점,987
알바,983
시켜,982
동물,981
입고,978
이름,975
가야,974
키우고,973
타고,971
보기,968
했고,967
봤던,963
되면은,961
프로,959
온라인,955
자꾸,954
된다,953
지역,951
티브이,950
동생,947
소리,943
모습,938
실제,938
입장,934
연락,929
어릴,928
본인,928
해외,928
스트레스,926
듣고,919
제품,919
완전,917
라면,912
학원,906
한다,905
건지,902
달라,901
갔는데,898
당시,895
봤어,891
언제,888
겨울,885
명절,881
식물,876
싶고,875
쇼핑,872
다니고,868
취업,862
